SINO,DATE,CASES
1,02/15/2020,3
2,02/16/2020,3
3,02/17/2020,3
4,02/18/2020,3
5,02/19/2020,3
6,02/20/2020,3
7,02/21/2020,3
8,02/22/2020,3
9,02/23/2020,3
10,02/24/2020,3
11,02/25/2020,3
12,02/26/2020,3
13,02/27/2020,3
14,02/28/2020,3
15,02/29/2020,3
16,03/01/2020,3
17,03/02/2020,6
18,03/03/2020,7
19,03/04/2020,29
20,03/05/2020,30
21,03/06/2020,31
22,03/07/2020,34
23,03/08/2020,40
24,03/09/2020,47
25,03/10/2020,62
26,03/11/2020,62
27,03/12/2020,74
28,03/13/2020,82
29,03/14/2020,100
30,03/15/2020,114
31,03/16/2020,129
32,03/17/2020,143
33,03/18/2020,169
34,03/19/2020,194
35,03/20/2020,249
36,03/21/2020,332
37,03/22/2020,396
38,03/23/2020,499
39,03/24/2020,536
40,03/25/2020,657
41,03/26/2020,727
42,03/27/2020,887
43,03/28/2020,987
44,03/29/2020,1024
45,03/30/2020,1251
46,03/31/2020,1397
47,04/01/2020,1998
48,04/02/2020,2543
49,04/03/2020,3059
50,04/04/2020,3588
51,04/05/2020,4289
52,04/06/2020,4778
53,04/07/2020,5351
54,04/08/2020,5916
55,04/09/2020,6725
56,04/10/2020,7600
57,04/11/2020,8446
58,04/12/2020,9205
59,04/13/2020,10453
60,04/14/2020,11487
61,04/15/2020,12370
62,04/16/2020,13430
63,04/17/2020,14352
64,04/18/2020,16365
65,04/19/2020,17615
66,04/20/2020,18539
67,04/21/2020,20080
68,04/22/2020,21370
69,04/23/2020,23039
70,04/24/2020,24447
71,04/25/2020,26283
72,04/26/2020,27890
73,04/27/2020,29451
74,04/28/2020,31324
75,04/29/2020,33062
76,04/30/2020,34863
77,05/01/2020,37257
78,05/02/2020,39699
79,05/03/2020,42505
80,05/04/2020,46437
81,05/05/2020,49400
82,05/06/2020,52987
83,05/07/2020,56351
84,05/08/2020,59695
85,05/09/2020,62808
86,05/10/2020,67161
87,05/11/2020,70768
88,05/12/2020,74292
89,05/13/2020,78055
90,05/14/2020,81997
91,05/15/2020,85786
92,05/16/2020,90648
93,05/17/2020,95698
94,05/18/2020,100328
95,05/19/2020,106275
96,05/20/2020,112028
97,05/21/2020,118226
98,05/22/2020,124794
99,05/23/2020,131423
100,05/24/2020,138536
101,05/25/2020,144950
102,05/26/2020,150793
103,05/27/2020,158086
104,05/28/2020,165386
105,05/29/2020,173491
106,05/30/2020,181827
107,05/31/2020,190409
108,06/01/2020,198370
109,06/02/2020,207191
110,06/03/2020,216824
111,06/04/2020,226713
112,06/05/2020,236184
113,06/06/2020,246622
114,06/07/2020,257486
115,06/08/2020,265928
116,06/09/2020,274780
117,06/10/2020,287155
118,06/11/2020,298283
119,06/12/2020,309603
120,06/13/2020,321626
121,06/14/2020,332786
122,06/15/2020,343026
123,06/16/2020,354161
124,06/17/2020,367364
125,06/18/2020,381091
126,06/19/2020,395812
127,06/20/2020,411727
128,06/21/2020,426910
129,06/22/2020,440450
130,06/23/2020,456115
131,06/24/2020,472985
132,06/25/2020,491170
133,06/26/2020,509446
134,06/27/2020,529577
135,06/28/2020,549197
136,06/29/2020,567536
137,06/30/2020,585792
138,07/01/2020,605220
139,07/02/2020,627168
140,07/03/2020,649889
141,07/04/2020,673904
142,07/05/2020,697836
143,07/06/2020,720346
144,07/07/2020,743481
145,07/08/2020,769052
146,07/09/2020,794842
147,07/10/2020,822603
148,07/11/2020,850358
149,07/12/2020,879466
150,07/13/2020,907645
151,07/14/2020,937487
152,07/15/2020,970169
153,07/16/2020,1005637
